"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,126067,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126068,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126069,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126070,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126071,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126072,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126066,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126065,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126064,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126062,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126063,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126073,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126165,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2003-11-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  336 - 1"
2015,126124,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2006-11-21","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  360 - 19"
2015,126195,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2006-11-21","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  370"
2015,126196,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2006-11-21","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  374 - 18"
2015,126125,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1983-01-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  376"
2015,126126,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1983-10-11","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  376 - 4"
2015,126113,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1981-01-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  376 - 24"
2015,126197,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2006-11-21","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  377 - 5"
2015,126155,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1996-11-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  380 - 19"
2015,126149,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-12-02","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  380 - 25"
2015,126148,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-12-02","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  380 - 27"
2015,126144,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-04-26","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  405 - 1"
2015,126143,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2003-11-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  417"
2015,126114,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1981-01-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  418 - 9"
2015,126158,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-11-11","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  423 - 20"
2015,126166,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1987-03-05","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  424 - 19"
2015,126156,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1997-12-13","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  427 - 13"
2015,126127,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-11-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  433 - 52"
2015,126157,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1997-12-13","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  436"
2015,126082,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126083,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126097,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-04-27","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126170,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  877"
2015,126167,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1999-12-06","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  273 - 4"
2015,126118,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1983-01-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  290 - 20"
2015,126117,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1993-10-26","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  328 - 1"
2015,126138,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-03-20","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  853"
2015,126139,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-03-20","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  854 - 2"
2015,126142,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2002-01-09","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  854 - 3"
2015,126140,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-03-20","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  855"
2015,126141,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2002-01-09","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  856 - 2"
2015,126168,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  873 - 1"
2015,126172,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  879 - 1"
2015,126173,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  880"
2015,126174,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  882"
2015,158487,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3001000,3001000,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2010-07-23","신축","지상식소하전","2010-09-27","","경기도 구리시 아천동  380 - 33"
2015,126178,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  659 - 4"
2015,126169,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  876"
2015,126074,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126075,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126076,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126077,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126078,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126080,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126081,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126119,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1983-01-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  574 - 38"
2015,126194,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2005-11-02","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  584 - 8"
2015,126146,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-04-26","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  589"
2015,126160,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2000-09-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  611 - 5"
2015,126152,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2002-04-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  620"
2015,126128,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1985-01-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  652 - 1"
2015,126136,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-03-20","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  697 - 2"
2015,126130,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-10-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  754 - 3"
2015,126137,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-03-20","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  849 - 8"
2015,126134,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-04-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  850"
2015,126135,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-03-20","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  852"
2015,126133,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1987-01-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  442 - 1"
2015,126131,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1987-01-01","매입","비상급수시설","2008-03-07","","경기도 구리시 수택동  436 - 17"
2015,160929,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,992750,992750,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2011-04-27","매입","비상소화전함","2011-05-17","","경기도 구리시 교문동  354 - 6"
2015,160928,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,992750,992750,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2011-04-27","매입","비상소화전함","2011-05-17","","경기도 구리시 교문동  354 - 6"
2015,160892,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1100000,1100000,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2011-04-27","신축","소방용수시설","2011-05-16","","경기도 구리시 교문동  354 - 6"
2015,126099,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1995-11-28","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126100,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-09-17","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126104,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1989-12-01","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126105,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,1816000,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1989-12-01","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126109,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2006-11-21","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126110,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126111,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126112,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,148216,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3300000,3300000,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2009-04-02","매입","설계용역","2009-07-10","","경기도 구리시 교문동  354 - 6"
2015,153655,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1457500,1457500,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2010-04-26","매입","가스보일러","2010-05-14","","경기도 구리시 교문동  354 - 6"
2015,153656,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1457500,1457500,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2010-04-26","매입","가스보일러","2010-05-14","","경기도 구리시 교문동  354 - 6"
2015,160891,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,55000,55000,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2011-04-27","신축","소방용수시설","2011-05-16","","경기도 구리시 교문동  354 - 6"
2015,126098,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1994-04-27","매입","비상급수시설","2008-03-07","","경기도 구리시 교문동  354 - 6"
2015,126188,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  1009"
2015,126189,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  1010"
2015,126171,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  878"
2015,126175,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  955"
2015,126176,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  955 - 2"
2015,126177,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  955 - 3"
2015,126179,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  961"
2015,126180,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  963"
2015,126181,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","2004-04-08","매입","비상급수시설","2008-03-07","","경기도 구리시 토평동  966 - 4"
